ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00093392,153,153,0,0,0,0,0,0,0,0,0,153,0,0,0,0
S00093393,111,111,0,0,0,0,0,0,0,0,0,111,0,0,0,0
S00093394,108,105,1,0,0,0,0,1,1,0,0,106,0,2,0,0
S00093395,133,133,0,0,0,0,0,0,0,0,0,133,0,0,0,0
S00093396,96,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0
S00093397,157,154,2,0,0,0,0,0,1,0,0,156,0,1,0,0
S00093398,109,107,0,0,2,0,0,0,0,0,0,107,0,2,0,0
S00093399,110,109,0,0,0,0,0,0,1,0,0,109,0,1,0,0
S00093400,87,84,0,0,0,3,0,0,0,0,0,84,0,3,0,0
S00093401,61,58,3,0,0,0,0,0,0,0,0,61,0,0,0,0
S00093402,119,116,0,1,0,0,0,2,0,0,0,116,0,2,1,0
S00093403,177,176,0,0,0,0,0,1,0,0,0,176,0,1,0,0
S00093404,136,130,3,0,0,0,0,3,0,0,0,133,0,3,0,0
S00093405,149,149,0,0,0,0,0,0,0,0,0,149,0,0,0,0
S00093406,127,127,0,0,0,0,0,0,0,0,0,127,0,0,0,0
S00093407,87,87,0,0,0,0,0,0,0,0,0,87,0,0,0,0
S00093408,57,57,0,0,0,0,0,0,0,0,0,57,0,0,0,0
S00093409,124,123,0,0,0,0,0,0,1,0,0,123,0,1,0,0
S00093410,185,179,0,0,0,5,0,0,1,0,0,179,0,6,0,0
S00093411,79,79,0,0,0,0,0,0,0,0,0,79,0,0,0,0
S00093412,95,94,0,1,0,0,0,0,0,0,0,94,0,0,1,0
S00093413,90,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0
S00093414,83,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0
S00093415,129,129,0,0,0,0,0,0,0,0,0,129,0,0,0,0
S00093416,121,120,0,1,0,0,0,0,0,0,0,120,0,0,1,0
S00093417,70,69,0,0,0,1,0,0,0,0,0,69,0,1,0,0
S00093418,53,53,0,0,0,0,0,0,0,0,0,53,0,0,0,0
S00093419,108,105,0,2,0,0,0,0,0,0,1,105,0,0,2,1
S00093420,221,210,4,3,0,4,0,0,0,0,0,214,0,4,3,0
S00093421,151,150,0,0,1,0,0,0,0,0,0,150,0,1,0,0
S00093422,121,121,0,0,0,0,0,0,0,0,0,121,0,0,0,0
S00093423,109,105,0,1,0,0,0,1,0,2,0,105,2,1,1,0
S00093424,118,118,0,0,0,0,0,0,0,0,0,118,0,0,0,0
S00093425,100,99,0,0,0,0,0,0,0,1,0,99,1,0,0,0
S00093431,159,159,0,0,0,0,0,0,0,0,0,159,0,0,0,0
S00093432,70,70,0,0,0,0,0,0,0,0,0,70,0,0,0,0
S00093433,145,145,0,0,0,0,0,0,0,0,0,145,0,0,0,0
