health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
N00001818,274,109,110,40,12,3
N00001819,379,174,146,48,11,0
N00001820,314,120,112,66,9,7
N00001821,618,304,222,70,19,3
N00001822,270,104,102,49,13,2
N00001823,383,182,142,49,8,2
N00001824,365,214,107,31,11,2
N00001825,240,104,89,34,8,5
N00001826,344,174,134,29,5,2
N00001827,334,165,111,45,12,1
N00001828,257,117,91,34,13,2
N00001829,238,114,81,34,7,2
N00001830,393,176,124,60,24,9
N00001831,337,177,110,41,7,2
N00001832,251,75,102,54,16,4
N00001833,327,117,89,88,26,7
N00001834,235,72,82,44,30,7
N00001835,295,97,102,60,25,11
N00001836,284,126,81,49,19,9
N00001837,236,78,84,44,24,6
N00001838,234,61,95,55,17,6
N00001839,396,177,144,54,16,5
N00001840,374,245,102,22,2,3
N00001841,345,181,120,33,9,2
N00001842,258,133,74,40,9,2
N00001843,326,194,95,29,8,0
N00001844,297,150,100,40,7,0
N00001845,292,153,90,37,8,4
N00001846,279,118,95,52,12,2
N00001847,287,129,106,37,11,4
N00001848,298,150,96,39,8,5
N00001849,303,139,104,50,9,1
N00001850,636,320,221,75,15,5
N00001851,295,178,86,25,6,0
N00001852,349,151,116,61,19,2
N00001853,344,185,106,44,7,2
N00001854,232,69,85,52,18,8
N00001855,292,134,87,59,8,4
N00001856,272,137,71,48,13,3
N00001857,268,118,94,37,18,1
N00001858,232,78,75,59,14,6
N00001859,266,106,77,59,15,9
N00001860,210,73,65,48,16,8
N00001861,271,116,88,52,15,0
N00001862,387,181,134,60,11,1
N00001863,272,104,90,58,17,3
N00001864,364,199,117,36,10,2
N00001865,541,271,190,67,13,0
N00001866,252,121,80,32,14,5
N00001867,359,178,128,43,9,1
N00001868,372,202,137,29,3,1
N00001869,350,171,86,75,13,5
N00001870,323,173,111,37,2,0
N00001871,355,209,113,27,6,0
N00001872,256,134,82,33,6,1
N00001873,806,532,219,44,5,6
N00001874,376,214,117,42,2,1
N00001875,291,148,90,41,9,3
N00001876,332,182,100,39,7,4
N00001877,282,128,93,54,6,1
N00001878,307,145,112,39,9,2
N00001879,352,211,91,37,10,3
N00001880,313,133,132,31,15,2
N00001881,979,372,316,205,71,15
N00001882,281,128,94,50,6,3
N00001883,292,125,90,50,23,4
N00001884,261,101,87,55,13,5
N00001885,229,69,68,64,22,6
N00001886,232,63,76,67,16,10
N00001887,289,130,102,42,13,2
N00001888,287,107,106,59,11,4
N00001889,231,93,77,36,18,7
N00001890,555,274,172,77,25,7
N00001891,390,194,136,42,15,3
N00001892,280,108,100,55,13,4
N00001893,270,104,95,56,10,5
N00001894,320,122,105,71,19,3
N00001895,342,112,112,79,36,3
N00001896,546,199,173,107,50,17
N00001897,283,113,107,46,12,5
N00001898,279,97,113,48,17,4
N00001899,186,39,73,54,15,5
N00001900,346,157,134,45,9,1
N00001901,377,200,116,49,10,2
N00001902,411,211,144,48,6,2
N00001903,427,273,127,18,5,4
N00001904,265,131,98,26,9,1
N00001905,267,116,91,44,13,3
N00001906,308,112,134,49,12,1
N00001907,331,148,111,60,7,5
N00001908,321,123,110,56,24,8
N00001909,331,170,101,48,11,1
N00001910,386,209,123,44,7,3
N00001911,290,130,95,49,15,1
N00001912,428,169,161,78,18,2
