rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00110661,0.999999999997774,104,27,7,0,0,0,0,1,0,0,66,3
S00110662,0.99999999999454003,140,31,8,6,0,0,0,0,0,0,85,10
S00110663,1.0000001192371,138,34,10,3,0,0,0,0,0,0,81,10
S00110664,0.99999999999953204,110,41,7,3,0,0,0,4,0,1,47,7
S00110665,0.99999999999123601,128,37,10,1,0,0,0,0,0,0,75,5
S00110666,0.99999999995894695,102,22,12,5,0,0,0,3,0,0,52,8
S00110667,1.0000000000609299,125,24,11,10,0,0,0,0,0,1,67,12
S00110668,0.99999999999959299,88,19,15,4,0,0,0,0,0,1,45,4
S00110669,0.99999999999629596,163,25,17,4,1,0,0,2,0,0,102,12
S00110670,0.99999999999980504,195,45,18,5,1,0,0,0,0,0,111,15
S00110671,1.0000000000017799,99,34,12,2,0,0,0,0,0,1,45,5
S00110672,0.99999999999923594,102,40,7,6,0,0,0,0,0,0,45,4
S00110673,1.00000000000006,84,39,3,4,0,0,0,0,7,0,20,11
S00110674,0.99999999999951605,167,43,15,16,5,0,0,5,0,0,72,11
S00110675,1.0000000000021201,170,53,18,8,0,0,0,3,0,0,74,14
S00110676,1.0000000000071301,201,56,11,8,0,0,0,15,0,0,97,14
S00110677,1.0000000000007301,99,32,6,6,0,0,0,0,0,0,52,3
S00110678,1.0000000002104501,85,19,11,7,0,0,0,0,0,0,42,6
S00110679,0.99999999999632305,101,34,15,6,0,0,0,0,0,1,40,5
S00110680,0.99999999999884803,105,27,4,4,0,0,0,0,0,0,62,8
S00110681,1.0000000000454801,123,41,18,7,0,0,0,1,0,1,53,2
S00110682,1.00000000003058,77,29,5,4,0,0,0,0,0,1,34,4
S00110683,0.99999999999835598,152,59,16,12,0,2,0,0,0,0,55,8
S00110684,1.00000000000446,164,68,6,14,1,0,0,6,0,1,62,6
S00110685,1.0000000000009901,103,45,9,8,0,0,0,0,0,0,34,7
S00110686,1.0000000000012399,159,47,7,6,0,0,0,0,0,0,88,11
S00110687,1.0000000000018701,195,34,16,12,0,0,0,0,0,0,126,7
S00110688,0.99999999999757205,87,26,5,5,0,0,0,0,0,0,42,9
S00110689,0.99999999997948397,171,38,7,7,2,0,0,0,0,0,109,8
S00110690,0.99999999997600098,92,26,7,9,0,0,0,0,0,0,47,3
S00110691,0.99999999997835598,226,72,25,11,0,0,0,18,0,0,76,24
S00110692,1.0000000000488101,142,35,7,6,1,0,0,0,0,0,78,15
S00110693,0.999999999994169,115,24,12,2,0,0,0,0,0,0,65,12
S00110694,1.00000000000109,99,18,5,8,0,0,0,0,0,0,64,4
S00110695,0.99999999994056898,116,47,15,3,0,0,0,3,0,0,44,4
S00110696,1.0000000000007501,148,41,18,7,0,0,0,0,0,0,68,14
S00110697,0.99999999999906197,170,52,14,7,0,0,0,1,0,1,85,10
S00110698,0.99999999999658795,107,16,13,0,0,0,0,0,0,0,73,5
S00110699,0.99999999999919498,126,31,9,7,1,0,0,0,0,0,75,3
S00110700,0.99999999997979605,57,15,9,5,0,0,2,0,0,0,19,7
S00110701,1.00000000000056,99,41,9,2,0,2,0,0,0,0,38,7
S00110702,0.99999999999595801,55,27,4,0,0,0,0,0,0,2,17,5
S00110703,0.99999999999166,132,36,11,8,0,0,0,1,0,0,74,2
S00110704,1.00000000000169,106,31,7,0,2,0,0,1,0,0,57,8
S00110705,0.99999999998678102,116,26,4,1,0,0,0,0,0,0,75,10
S00110706,0.99999999998820899,96,28,13,0,0,0,0,0,0,0,55,0
S00110707,1.0000000000006,141,24,7,9,0,0,0,0,0,0,96,5
S00110708,1.0000000000229201,148,30,10,4,0,0,0,0,0,0,104,0
S00110709,1.00000000001303,102,31,5,8,0,0,0,0,0,0,55,3
S00110710,1.00000000000393,127,32,8,4,0,0,0,0,0,0,80,3
S00110711,1.0000000000023299,103,17,12,2,0,0,0,0,0,0,58,14
S00110712,1.0000000000001901,119,31,12,7,0,0,0,0,0,1,62,6
S00110713,0.99999999999783795,130,32,6,8,0,0,0,0,0,0,66,18
S00110714,0.99999999999696398,64,23,3,1,0,0,0,0,0,0,33,4
S00110715,1.0000000000015501,132,22,5,16,0,0,0,1,5,1,66,16
S00110716,0.99999999999867295,129,34,5,3,0,0,0,0,0,0,72,15
S00110717,1.00000000000138,108,23,16,6,0,0,1,0,0,0,61,1
